"","In113Di","Nd143Di","Nd144Di","Nd145Di","Nd146Di","Sm147Di","Nd148Di","Sm149Di","Nd150Di","Sm152Di","Eu153Di","Gd158Di","Gd160Di","Dy162Di","Dy163Di","Dy164Di","Ho165Di","Er166Di","Er167Di","Yb171Di","Yb172Di","Yb173Di","Yb174Di","Yb176Di","Ir191Di","Ir193Di","Bi209Di"
"In113Di",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd143Di",0,1,0.0221962156365679,0.00358904726947022,0.00339136495912027,0,0.00166152487920961,0,0.000331462726647267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd144Di",0,0.00294969487985675,1,0.00738435566231757,0.00395688089668065,0,0.00143020482523209,0,0.000804279020146173,0,0,0,0.00186233755154135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd145Di",0,0.00252239832495617,0.0115806255821583,1,0.0400885683142388,0,0.00263662590103944,0,0.00181951345586636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd146Di",0,0.001356768649546,0.00306732369617236,0.00277955880261472,1,0.0028071990237741,0.003495800854895,0,0.00188217610117586,0,0,0,0,0.00195258946670224,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sm147Di",0,0,0.00123242090631745,0,0.00110453552001068,1,0.0269429551498071,0.00692450810690904,0.00297143266038522,0.00611856299925029,0,0,0,0,7.98782192264725e-05,0,0,0,0,0,0,0,0,0,0,0,0
"Nd148Di",0,0.0020045522543532,0.00426401864658248,0.00176783231493868,0.00648032401527075,0.000794549368766228,1,0.00248675512149302,0.0059508872989609,0,0,0,0,0,0,0.00176984102727331,0,0,0,0,0,0,0,0,0,0,0
"Sm149Di",0,0,0.000359814702522401,0,0,0.00234119407482591,0.00776821785992266,1,0.0172406311813107,0.00624001252157106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd150Di",0,0.00216084371162458,0.00455573197787583,0.00159892679813592,0.00348270737297641,0,0.00255013098185125,0.000656629600692014,1,0,0,0,0,0,0,0,0,0.00149491226010105,0,0,0,0,0,0,0,0,0
"Sm152Di",0,0,6.4519900147027e-05,0,0,0.000372689811606872,0.000565181300449885,0.00114745242801593,0.00182342962945737,1,0.00213899799580832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eu153Di",0,0,0,0,0,0,0,0,0,0.000526059793956611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gd158Di",0,0,0,0,0,0,0,0,0,1.58976720308702e-05,0,1,0.00781930259584715,0,0,0,0,0,0,0,0,0,0.000358585100126162,0,0,0,0
"Gd160Di",0,0,0,0,0,0,0,0,0,7.68665651118243e-05,0,0.0068866895858703,1,0,0,0,0,0,0,0,0,0,0,0.000374761762834747,0,0,0
"Dy162Di",0,0,0,0,0,0,0,0,0,0,0,6.28811399908504e-05,0.000715596783873326,1,0.0402492542094063,0.00986134246389796,0,0,0,0,0,0,0,0,0,0,0
"Dy163Di",0,0,0,0,0,0,0,0,0,0,0,2.90670141091914e-05,0.000597545257804114,0.0122548745952622,1,0.0183830221531827,0,0,0,0,0,0,0,0,0,0,0
"Dy164Di",0,0,0,0,0,0,0,0,0,0,0,0,0.000227855948330122,0.00242337181950405,0.0103857464355465,1,0.00339224478239882,0,0,0,0,0,0,0,0,0,0
"Ho165Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000836655270832407,1,0.00335245320049912,0,0,0,0,0,0,0,0,0
"Er166Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000105296637429154,0,1,0.0143443663722,0,0,0,0,0,0,0,0
"Er167Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000455203629594847,0,0.00995441984222659,1,0,0,0,0,0,0,0,0
"Yb171Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0389217896849887,0.0047379975754968,0.00489400884728001,0.00215144604610668,0,0,0
"Yb172Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00282737953428847,1,0.0239559304254342,0.00635582936860297,0.00207196425001018,0,0,0
"Yb173Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037700166992314,0.0151734170382385,1,0.035074765590722,0.00465789197664435,0,0,0
"Yb174Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000713111444967234,0.00176615564146557,0.00349245164317839,1,0.00555106275241169,0,0,0
"Yb176Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000211660203243989,0.000636935148890664,0.0008097062218348,0.00267037549055148,1,0,0,0
"Bi209Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
